,portfolio,date
202,12759.562336477073,2017-10-20
203,12718.823768635142,2017-10-23
204,12776.962109000851,2017-10-24
205,12660.897049922836,2017-10-25
206,12663.828655943027,2017-10-26
207,12682.685738106298,2017-10-27
208,12666.745101877816,2017-10-30
209,12699.044524314862,2017-10-31
210,12725.750733376306,2017-11-01
211,12687.873450022244,2017-11-02
212,12758.652327545331,2017-11-03
213,12783.169424208054,2017-11-06
214,12850.371034863465,2017-11-07
215,12863.410284049662,2017-11-08
216,12811.690642106298,2017-11-09
217,12820.078627558665,2017-11-10
218,12827.1617592489,2017-11-13
219,12784.43038018853,2017-11-14
220,12714.619721891493,2017-11-15
221,12827.997998312343,2017-11-16
222,12790.032418851042,2017-11-17
223,12826.676585270568,2017-11-20
224,12920.021514937209,2017-11-21
225,12929.628437885132,2017-11-22
226,12929.549815275506,2017-11-24
227,12930.791023633976,2017-11-27
228,13056.442888914726,2017-11-28
229,13052.282348308674,2017-11-29
230,13178.006093632423,2017-11-30
231,13196.491646542629,2017-12-01
232,13319.921215787273,2017-12-04
233,13222.585798682212,2017-12-05
234,13190.7589821356,2017-12-06
235,13252.270822584995,2017-12-07
236,13278.756998347542,2017-12-08
237,13394.59502857596,2017-12-11
238,13404.351622441303,2017-12-12
239,13490.8593297536,2017-12-13
240,13511.36790827272,2017-12-14
241,13607.608847652102,2017-12-15
242,13643.050754175614,2017-12-18
243,13644.37386628487,2017-12-19
244,13627.343031939197,2017-12-20
245,13662.660661514838,2017-12-21
246,13638.920396294367,2017-12-22
247,13602.29889779878,2017-12-26
248,13599.220932671768,2017-12-27
249,13607.665206491069,2017-12-28
250,13530.05830799088,2017-12-29
251,13643.49342721019,2018-01-02
252,13688.162664317188,2018-01-03
253,13758.831734411116,2018-01-04
254,13995.269469809611,2018-01-05
255,14045.708696518486,2018-01-08
256,14175.264096884124,2018-01-09
257,14168.938841575546,2018-01-10
258,14298.89059441445,2018-01-11
259,14435.242247613996,2018-01-12
260,14402.411627875312,2018-01-16
261,14682.262731870473,2018-01-17
262,14654.302903155025,2018-01-18
263,14703.487734149487,2018-01-19
264,14816.957425544197,2018-01-22
265,14788.327721280146,2018-01-23
266,14809.664768995377,2018-01-24
267,14834.124542895766,2018-01-25
268,14954.739386752868,2018-01-26
269,14848.41878172191,2018-01-29
270,14588.496688775263,2018-01-30
271,14623.582048869972,2018-01-31
272,14639.043705712571,2018-02-01
273,14290.983193615868,2018-02-02
274,13637.659341989951,2018-02-05
275,14006.89182965181,2018-02-06
276,14008.011705398112,2018-02-07
277,13541.399139356105,2018-02-08
278,13688.694689928572,2018-02-09
279,13956.734700756428,2018-02-12
280,13977.768930515278,2018-02-13
281,14162.285614212373,2018-02-14
282,14407.467614258567,2018-02-15
283,14395.406805040951,2018-02-16
284,14342.742802767585,2018-02-20
285,14255.433920693817,2018-02-21
286,14274.960789068135,2018-02-22
287,14531.592643265236,2018-02-23
288,14748.964400962164,2018-02-26
289,14659.023744035432,2018-02-27
290,14565.272029130414,2018-02-28
291,14462.713607647816,2018-03-01
292,14541.308097082034,2018-03-02
293,14672.851114832029,2018-03-05
294,14672.686935046042,2018-03-06
295,14657.929428844596,2018-03-07
296,14717.301328254409,2018-03-08
297,14971.490366856557,2018-03-09
298,14888.011861664672,2018-03-12
299,14756.208983069164,2018-03-13
300,14619.106659936922,2018-03-14
301,14645.242116232766,2018-03-15
302,14629.00377402297,2018-03-16
303,14463.488240210454,2018-03-19
304,14511.8461444002,2018-03-20
305,14353.545050917248,2018-03-21
306,14001.789844756757,2018-03-22
307,13699.876930159211,2018-03-23
308,14213.329321314584,2018-03-26
309,13844.588085856016,2018-03-27
310,13755.76220172414,2018-03-28
311,13957.457646710081,2018-03-29
312,13717.262505735547,2018-04-02
313,13930.668832636999,2018-04-03
314,14100.506986792834,2018-04-04
315,14270.258389227378,2018-04-05
316,13889.236826058122,2018-04-06
317,13915.656333240033,2018-04-09
318,14268.872052159684,2018-04-10
319,14113.603297723806,2018-04-11
320,14376.937477096672,2018-04-12
321,14272.868490098223,2018-04-13
322,14370.660305165147,2018-04-16
