Date,Daily_Return,Cummulative_Daily_Return,Portfolio
2016-12-30,0.0,0.0,10000.0
2017-01-03,0.006029579033391519,0.006029579033391519,10060.295790333916
2017-01-04,0.0030379801052333733,0.009067559138624892,10090.858768797712
2017-01-05,-0.0021497718107816866,0.006917787327843206,10069.165725069972
2017-01-06,0.0032419107309502593,0.010159698058793465,10101.809061485792
2017-01-09,-0.0038279244875442098,0.006331773571249255,10063.140099210834
2017-01-10,-0.001601596646900072,0.004730176924349183,10047.023007770653
2017-01-11,0.004973425715502966,0.009703602639852149,10096.99113036175
2017-01-12,-0.0031712143512449,0.006532388288607249,10064.971407184754
2017-01-13,-0.0002649203785631826,0.006267467910044067,10062.304991149334
2017-01-17,-0.0029649872602193206,0.003302480649824746,10032.470385042136
2017-01-18,-0.001112073658305679,0.002190406991519067,10021.313538999198
2017-01-19,-0.0036516704064697425,-0.0014612634149506754,9984.719004914881
2017-01-20,0.004806795295926758,0.0033455318809760826,10032.713505258856
2017-01-23,-0.0013819561777351774,0.001963575703240905,10018.848734850817
2017-01-24,0.005700110372129474,0.0076636860753703795,10075.957278441136
2017-01-25,0.007824089277145951,0.01548777535251633,10154.792467740368
2017-01-26,0.0016144891176970155,0.017102264470213346,10171.187269672006
2017-01-27,-0.00035475305941723434,0.016747511410796112,10167.579009870184
2017-01-30,-0.006103801364986339,0.010643710045809773,10105.518127231131
2017-01-31,-0.005359787404064398,0.0052839226417453755,10051.354698461253
2017-02-01,0.0013516657237355734,0.006635588365480949,10064.940770084271
2017-02-02,-0.00030311775314628697,0.006332470612334662,10061.889907852494
2017-02-03,0.009381524974673594,0.015713995587008256,10156.285779315429
2017-02-06,-0.0009486611704195846,0.014765334416588671,10146.650905360908
2017-02-07,0.0018885072610956843,0.016653841677684356,10165.812929271486
2017-02-08,-0.0017893828524897515,0.014864458825194604,10147.622397934229
2017-02-09,0.005887032322920982,0.020751491148115586,10207.361778991664
2017-02-10,0.004807001057001825,0.02555849220511741,10256.428577852477
2017-02-13,0.007044669946772553,0.032603162151889964,10328.681732016094
2017-02-14,0.004519364892977995,0.03712252704486796,10375.36081362651
2017-02-15,0.005240297961814244,0.0423628250066822,10429.730795751244
2017-02-16,0.000383767233517629,0.04274659224019983,10433.733384685063
2017-02-17,0.00020762841182642156,0.042954220652026254,10435.899724177147
2017-02-21,0.005767500284577398,0.04872172093660365,10496.08877880616
2017-02-22,0.0015715956889070792,0.05029331662551073,10512.584386681317
2017-02-23,0.0016712250802779494,0.05196454170578868,10530.153281366878
2017-02-24,0.0005497009634267691,0.05251424266921545,10535.941716770678
2017-02-27,0.0007530433391074176,0.05326728600832287,10543.875737501716
2017-02-28,-0.001209324149768376,0.05205796185855449,10531.124773940199
2017-03-01,0.014573661626970491,0.06663162348552498,10684.60182294701
2017-03-02,-0.005331619302346935,0.06130000418317805,10627.635593629895
2017-03-03,0.0001304688947927346,0.06143047307797078,10629.022169500056
2017-03-06,-0.0024455774861821267,0.058984895591788655,10603.028072182196
2017-03-07,-0.0014116444777344528,0.0575732511140542,10588.060366156837
2017-03-08,-0.0032989290031611995,0.054274322110893,10553.1311067277
2017-03-09,0.00011790449529858194,0.054392226606191585,10554.375368324658
2017-03-10,0.0021474066924964674,0.05653963329868805,10577.039904625717
2017-03-13,-0.0010285614547715927,0.05551107184391646,10566.160769074238
2017-03-14,-0.0021124617189386408,0.05339861012497782,10543.840158933417
